subject,opponent,seed,num_rounds,first_round,last_round,per_c,per_C,per_cC,per_cD,per_dC,per_dD,avg_score,avg_net_score
TIFT,JOSSog,0,200,1,200,0.10552763819095479,0.09547738693467334,0.095,0.01,0.0,0.89,1.2462311557788945,-0.02512562814070352
TIFT,JOSSog,1,200,1,200,0.0653266331658291,0.055276381909547756,0.055,0.01,0.0,0.93,1.1306532663316582,-0.02512562814070352
TIFT,JOSSog,2,200,1,200,0.07537688442211055,0.0653266331658291,0.065,0.01,0.0,0.92,1.120603015075377,-0.02512562814070352
TIFT,JOSSog,3,200,1,200,0.07537688442211055,0.0653266331658291,0.065,0.01,0.0,0.92,1.120603015075377,-0.02512562814070352
TIFT,JOSSog,4,200,1,200,0.09547738693467334,0.085427135678392,0.085,0.01,0.0,0.9,1.1658291457286432,-0.02512562814070352
TIFT,JOSScx,0,200,1,200,1.0,0.09547738693467334,0.095,0.9,0.0,0.0,1.2462311557788945,-0.02512562814070352
TIFT,JOSScx,1,200,1,200,1.0,0.055276381909547756,0.055,0.94,0.0,0.0,1.1306532663316582,-0.02512562814070352
TIFT,JOSScx,2,200,1,200,1.0,0.0653266331658291,0.065,0.93,0.0,0.0,1.120603015075377,-0.02512562814070352
TIFT,JOSScx,3,200,1,200,1.0,0.0653266331658291,0.065,0.93,0.0,0.0,1.120603015075377,-0.02512562814070352
TIFT,JOSScx,4,200,1,200,1.0,0.085427135678392,0.085,0.91,0.0,0.0,1.1658291457286432,-0.02512562814070352
TIFT,JOSSxx,0,200,1,200,0.09547738693467334,0.09547738693467334,0.095,0.0,0.0,0.9,1.2462311557788945,-0.02512562814070352
TIFT,JOSSxx,1,200,1,200,0.055276381909547756,0.055276381909547756,0.055,0.0,0.0,0.94,1.1306532663316582,-0.02512562814070352
TIFT,JOSSxx,2,200,1,200,0.0653266331658291,0.0653266331658291,0.065,0.0,0.0,0.93,1.120603015075377,-0.02512562814070352
TIFT,JOSSxx,3,200,1,200,0.0653266331658291,0.0653266331658291,0.065,0.0,0.0,0.93,1.120603015075377,-0.02512562814070352
TIFT,JOSSxx,4,200,1,200,0.085427135678392,0.085427135678392,0.085,0.0,0.0,0.91,1.1658291457286432,-0.02512562814070352
TIFT,DAVI,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVI,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVI,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVI,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVI,4,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIcx,0,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIcx,1,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIcx,2,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
TIFT,DAVIcx,3,200,1,200,1.0,1.0,0.995,0.0,0.0,0.0,3.0,0.0
